"team_id","pos_team","abbreviation","season","plays_off","playsgame_off","TEPA_off","EPAplay_off","EPAgame_off","success_off","start_position_off","playsgame_rank_off","TEPA_rank_off","EPAgame_rank_off","EPAplay_rank_off","success_rank_off","start_position_rank_off","plays_def","playsgame_def","TEPA_def","EPAplay_def","EPAgame_def","success_def","start_position_def","playsgame_rank_def","TEPA_rank_def","EPAgame_rank_def","EPAplay_rank_def","success_rank_def","start_position_rank_def","TEPA_margin","EPAplay_margin","EPAgame_margin","success_margin","start_position_margin","TEPA_margin_rank","EPAgame_margin_rank","EPAplay_margin_rank","success_margin_rank","start_position_margin_rank"
2005,"Air Force","AFA",2021,1037,86.4166666666667,89.9865241634505,0.0867758188654296,7.49887701362088,0.39344262295082,72.1398264223722,76,29,29,26,50,80,890,74.1666666666667,79.1343523121278,0.0889150025978964,6.59452935934398,0.348314606741573,72.3966292134832,3,96,92,101,20,62,10.8521718513228,-0.00213918373246673,0.904347654276896,0.0451280162092466,-0.256802791110928,57,57,70,29,77
2006,"Akron","AKR",2021,845,93.8888888888889,-7.84955795813883,-0.00928941770193944,-0.872173106459869,0.33491124260355,75.298224852071,24,90,91,92,114,6,739,82.1111111111111,147.123671909407,0.199084806372676,16.3470746566008,0.503382949932341,71.2395128552097,16,124,127,128,130,27,-154.973229867546,-0.208374224074615,-17.2192477630607,-0.168471707328791,4.05871199686126,118,127,128,130,13
333,"Alabama","ALA",2021,1269,90.6428571428571,157.518499227551,0.124128052976794,11.2513213733965,0.431048069345942,74.1576044129236,39,5,10,11,15,26,1200,85.7142857142857,-50.6862584195317,-0.0422385486829431,-3.62044702996655,0.3375,74.33,42,17,17,17,14,114,208.204757647083,0.166366601659737,14.8717684033631,0.0935480693459417,-0.172395587076437,4,4,4,5,74
2026,"Appalachian State","APP",2021,1117,85.9230769230769,83.5205790065287,0.0747722282959075,6.42465992357913,0.423455684870188,71.4028648164727,84,32,34,34,21,95,1125,86.5384615384615,-38.2875738891517,-0.0340333990125793,-2.94519799147321,0.355555555555556,73.8168888888889,52,19,22,21,28,105,121.80815289568,0.108805627308487,9.36985791505234,0.0679001293146324,-2.41402407241618,11,11,12,14,108
12,"Arizona","ARIZ",2021,1061,96.4545454545455,-36.150374050498,-0.0340719830824675,-3.28639764095437,0.34684260131951,76.3958529688973,14,113,112,109,106,1,904,82.1818181818182,55.8709747624356,0.0618041756221632,5.07917952385778,0.370575221238938,73.6294247787611,17,81,82,85,43,102,-92.0213488129336,-0.0958761587046307,-8.36557716481214,-0.0237326199194282,2.76642819013621,107,106,106,89,21
9,"Arizona State","ASU",2021,962,80.1666666666667,57.7505994591352,0.0600318081695792,4.81254995492794,0.425155925155925,72.4698544698545,122,49,50,45,20,70,1039,86.5833333333333,-5.943128767829,-0.00572004693727526,-0.495260730652417,0.36958614051973,73.7382098171319,53.5,35,36,36,42,104,63.6937282269642,0.0657518551068545,5.30781068558035,0.0555697846361947,-1.26835534727739,33,33,31,19,91
8,"Arkansas","ARK",2021,1073,89.4166666666667,55.552414511665,0.0517729864973579,4.62936787597209,0.386766076421249,73.452935694315,46,51,52,52,61,39,1077,89.75,-20.7818708795065,-0.0192960732400246,-1.73182257329221,0.357474466109564,72.6100278551532,82.5,27,28,27,32,74,76.3342853911715,0.0710690597373825,6.36119044926429,0.0292916103116852,0.842907839161796,27,27,29,39,48
2032,"Arkansas State","ARST",2021,855,95,11.1063111196004,0.0129898375667841,1.23403456884449,0.36374269005848,74.4421052631579,20,78,75,76,90,17,792,88,111.73669088059,0.141081680404785,12.4151878756211,0.40530303030303,73.0782828282828,64.5,114,120,119,92,87,-100.630379760989,-0.128091842838001,-11.1811533067766,-0.0415603402445507,1.36382243487508,109,115,114,99,44
349,"Army","ARMY",2021,954,79.5,92.8483812384001,0.097325347210063,7.73736510320001,0.39832285115304,65.4234800838574,124.5,26,26,22,49,130,872,72.6666666666667,46.8153742134895,0.0536873557494145,3.90128118445746,0.378440366972477,71.8761467889908,1,75,74,79,56,43,46.0330070249106,0.0436379914606484,3.83608391874255,0.0198824841805628,-6.45266670513338,41,42,42,50,128
2,"Auburn","AUB",2021,1046,87.1666666666667,7.59121156554539,0.0072573724335998,0.632600963795449,0.398661567877629,74.3718929254302,70,82,83,83,47,18,1122,93.5,-2.74439383915808,-0.00244598381386638,-0.228699486596507,0.373440285204991,74.0311942959002,114,39,39,39,48,107,10.3356054047035,0.00970335624746618,0.861300450391956,0.025221282672638,0.340698629530038,58,58,60,44,61
2050,"Ball State","BALL",2021,1051,87.5833333333333,-10.8470558575438,-0.010320700149899,-0.903921321461984,0.369172216936251,70.1065651760228,67,93,92,93,84,116,1072,89.3333333333333,81.1285178188013,0.0756795875175385,6.76070981823344,0.450559701492537,74.4477611940299,76,97,94,94,124,117,-91.9755736763451,-0.0860002876674375,-7.66463113969543,-0.0813874845562861,-4.34119601800701,106,103,103,111,119
239,"Baylor","BAY",2021,1112,85.5384615384615,76.5505191401804,0.0688403949102342,5.88850147232157,0.401978417266187,70.9577338129496,87.5,34,39,38,43,105,1153,88.6923076923077,-37.932011291655,-0.0328985353787121,-2.917847022435,0.326105810928014,74.1309627059844,71,20,23,22,8,111,114.482530431835,0.101738930288946,8.80634849475657,0.0758726063381732,-3.17322889303475,13,14,13,11,112
