"team_id","pos_team","abbreviation","season","plays_off","playsgame_off","TEPA_off","EPAplay_off","EPAgame_off","success_off","start_position_off","playsgame_off_rank","TEPA_off_rank","EPAgame_off_rank","EPAplay_off_rank","success_off_rank","start_position_off_rank","plays_def","playsgame_def","TEPA_def","EPAplay_def","EPAgame_def","success_def","start_position_def","playsgame_def_rank","TEPA_def_rank","EPAgame_def_rank","EPAplay_def_rank","success_def_rank","start_position_def_rank","TEPA_margin","EPAplay_margin","EPAgame_margin","success_margin","start_position_margin","TEPA_margin_rank","EPAgame_margin_rank","EPAplay_margin_rank","success_margin_rank","start_position_margin_rank"
2005,"Air Force","AFA",2015,1136,87.3846153846154,230.558185464553,0.202956149176543,17.7352450357348,0.417253521126761,72.8336267605634,90,8,13,9,27,99,1074,82.6153846153846,172.421080912744,0.160541043680395,13.2631600702111,0.330540037243948,71.5577281191806,14,99,87,99,10,58,58.1371045518088,0.0424151054961482,4.47208496552376,0.0867134838828127,-1.27589864138274,19,21,28,9,84
2006,"Akron","AKR",2015,1047,87.25,58.9226465756655,0.056277599403692,4.91022054797212,0.335243553008596,71.0830945558739,91,109,111,108,115,57,1012,84.3333333333333,89.7990354561673,0.0887342247590586,7.48325295468061,0.374505928853755,71.9318181818182,25,35,34,37,46,48,-30.8763888805018,-0.0324566253553666,-2.57303240670848,-0.039262375845159,0.84872362594426,97,96,95,91,52
333,"Alabama","ALA",2015,1310,93.5714285714286,33.8008222043285,0.0258021543544493,2.41434444316632,0.399236641221374,70.5748091603053,39,123,124,124,48,47,1235,88.2142857142857,99.1147262433487,0.0802548390634402,7.07962330309633,0.287449392712551,73.2461538461538,39,44,27,30,1,21,-65.3139040390201,-0.054452684708991,-4.66527885993001,0.111787248508823,2.6713446858485,110,108,106,3,29
2026,"Appalachian State","APP",2015,932,84.7272727272727,97.0509220678234,0.104131890630712,8.82281109707485,0.400214592274678,68.4216738197425,108,80,78,74,46,14,963,87.5454545454545,61.2923611622369,0.06364731169495,5.57203283293062,0.340602284527518,68.993769470405,36,18,18,17,16,109,35.7585609055865,0.0404845789357618,3.25077826414423,0.0596123077471599,0.57209565066249,34,32,30,16,55
12,"Arizona","ARIZ",2015,1159,96.5833333333333,152.081523917216,0.131217880860411,12.6734603264346,0.404659188955997,72.213977566868,23,45,48,57,38,82,1188,99,226.56483434251,0.190711140018948,18.8804028618758,0.423400673400673,72.6708754208754,113,118,119,113,101,31,-74.4833104252944,-0.0594932591585375,-6.2069425354412,-0.0187414844446768,0.456897854007423,115,115,111,76,57
9,"Arizona State","ASU",2015,1241,103.416666666667,163.925232030447,0.132091242570868,13.6604360025373,0.383561643835616,70.2755842062853,3,31,35,54,66,39,1147,95.5833333333333,226.90038877193,0.197820739992965,18.9083657309942,0.344376634699215,73.6687009590235,102,120,120,118,19,13,-62.9751567414831,-0.0657294974220965,-5.24792972845693,0.039185009136401,3.39311675273828,109,110,114,34,18
8,"Arkansas","ARK",2015,991,82.5833333333333,161.727795785471,0.163196564869295,13.4773163154559,0.453077699293643,71.1473259334006,123,36,39,30,6,60,973,81.0833333333333,190.917062105734,0.19621486341802,15.9097551754778,0.433710174717369,72.2363823227133,9,109,106,117,111,43,-29.1892663202627,-0.0330182985487256,-2.43243886002189,0.0193675245762738,1.08905638931265,92,92,97,51,47
2032,"Arkansas State","ARST",2015,1055,95.9090909090909,72.6413023218343,0.0688543149969994,6.60375475653039,0.388625592417062,67.242654028436,24,101,100,101,59,5,1065,96.8181818181818,139.435615455487,0.130925460521584,12.6759650414079,0.348356807511737,72.1784037558685,106,77,82,76,22,44,-66.794313133653,-0.062071145524585,-6.07221028487755,0.0402687849053245,4.93574972743252,111,113,113,33,9
349,"Army","ARMY",2015,747,74.7,73.0912512305269,0.0978463871894604,7.30912512305269,0.381526104417671,72.5756358768407,128,100,94,80,71,90,810,81,84.5286027216918,0.10435629965641,8.45286027216918,0.388888888888889,69.5,8,26,42,51,62,100,-11.4373514911649,-0.00650991246694922,-1.14373514911649,-0.00736278447121819,-3.07563587684069,75,77,67,69,106
2,"Auburn","AUB",2015,963,87.5454545454545,143.968195662079,0.149499683968929,13.0880177874617,0.396677050882658,72.5493250259605,88,52,43,37,51,89,1011,91.9090909090909,101.124294264646,0.100024029935357,9.19311766042236,0.395647873392681,71.6340257171118,72,48,48,49,70,57,42.8439013974327,0.049475654033572,3.89490012703933,0.00102917748997783,-0.915299308848773,25,25,23,64,78
