"team_id","pos_team","abbreviation","season","plays_off","playsgame_off","TEPA_off","EPAplay_off","EPAgame_off","success_off","start_position_off","playsgame_off_rank","TEPA_off_rank","EPAgame_off_rank","EPAplay_off_rank","success_off_rank","start_position_off_rank","plays_def","playsgame_def","TEPA_def","EPAplay_def","EPAgame_def","success_def","start_position_def","playsgame_def_rank","TEPA_def_rank","EPAgame_def_rank","EPAplay_def_rank","success_def_rank","start_position_def_rank","TEPA_margin","EPAplay_margin","EPAgame_margin","success_margin","start_position_margin","TEPA_margin_rank","EPAgame_margin_rank","EPAplay_margin_rank","success_margin_rank","start_position_margin_rank"
52,"Florida State","FSU",2014,1161,89.3076923076923,140.82741040756,0.121298372444065,10.8328777236584,0.434108527131783,70.213608957795,74,55,71,70,19,48,1195,91.9230769230769,92.7310777165719,0.0775992282147045,7.13315982435168,0.402510460251046,70.7874476987448,73,37,30,28,81,58,48.0963326909878,0.0436991442293607,3.69971789930675,0.0315980668807369,0.573838740949768,22,26,26,32,49
278,"Fresno State","FRES",2014,1256,96.6153846153846,140.163264009496,0.111594955421573,10.781789539192,0.351114649681529,72.7109872611465,23,57,73,77,108,103,1203,92.5384615384615,145.844871162279,0.121234306868062,11.2188362432522,0.377389858686617,71.75893599335,79,80,61,58,50,45,-5.68160715278245,-0.00963935144648864,-0.437046704060188,-0.0262752090050881,-0.952051267796534,75,75,79,87,74
61,"Georgia","UGA",2014,980,81.6666666666667,188.93935989081,0.192795265194704,15.7449466575675,0.448979591836735,68.6622448979592,124,21,23,13,12,20,1084,90.3333333333333,182.988818500716,0.168808873155642,15.249068208393,0.387453874538745,74.4511070110701,59,106,103,104,61,6,5.95054139009395,0.0239863920390619,0.495878449174496,0.0615257172979893,5.78886211311092,62,62,46,16,5
290,"Georgia Southern","GASO",2014,812,81.2,148.832721934412,0.183291529475877,14.8832721934412,0.447044334975369,69.6995073891626,126,48,31,18,14,35,883,88.3,126.519408955682,0.143283588851282,12.6519408955682,0.420158550396376,73.1891279728199,37,60,76,82,99,18,22.3133129787297,0.0400079406245945,2.23133129787297,0.0268857845789934,3.48962058365737,43,41,30,35,19
2247,"Georgia State","GAST",2014,875,87.5,186.155564955679,0.212749217092205,18.6155564955679,0.358857142857143,73.5782857142857,94,22,9,5,100,114,890,89,181.980155705863,0.204472085062767,18.1980155705863,0.485393258426966,66.0640449438202,43.5,105,119,119,128,128,4.17540924981651,0.00827713202943772,0.417540924981651,-0.126536115569823,-7.51424077046549,64,63,61,126,128
59,"Georgia Tech","GT",2014,1135,87.3076923076923,209.712959184657,0.18476912703494,16.1317660911275,0.491629955947137,71.8334801762115,96,10,21,17,1,85,1061,81.6153846153846,155.288047106167,0.146360082098179,11.9452343927821,0.439208294062205,71.8143261074458,5,86,71,87,113,43,54.42491207849,0.0384090449367619,4.18653169834538,0.0524216618849311,-0.0191540687656442,19,24,31,19,61
62,"Hawai'i","HAW",2014,967,96.7,118.326292971006,0.122364315378497,11.8326292971006,0.331954498448811,71.5056876938987,22,74,61,68,119,74,920,92,48.0579891357651,0.0522369447127882,4.80579891357651,0.36195652173913,71.875,74,19,19,19,26,40,70.2683038352412,0.0701273706657086,7.02683038352412,-0.0300020232903197,0.369312306101349,11,10,13,90,54
248,"Houston","HOU",2014,1094,91.1666666666667,131.046778443244,0.119786817589803,10.9205648702704,0.405850091407678,70.6005484460695,60,69,70,71,42,54,1087,90.5833333333333,41.9625737306352,0.0386040236712376,3.4968811442196,0.382704691812328,70.5317387304508,62,17,16,16,56,67,89.0842047126092,0.0811827939185654,7.42368372605077,0.0231453995953507,-0.0688097156186842,7,6,7,43,62
356,"Illinois","ILL",2014,1073,89.4166666666667,112.086695250878,0.104461039376401,9.3405579375732,0.366262814538677,67.6467847157502,73,78,82,82,88,8,1109,92.4166666666667,143.610357447092,0.129495362891877,11.9675297872577,0.400360685302074,70.770964833183,78,76,72,67,77,59,-31.5236621962135,-0.0250343235154762,-2.62697184968446,-0.0340978707633973,3.12418011743281,92,92,91,94,22
84,"Indiana","IND",2014,902,90.2,132.143660360276,0.146500732106736,13.2143660360276,0.354767184035477,68.7960088691796,66,65,49,48,105,23,980,98,108.681036747484,0.110899017089269,10.8681036747484,0.407142857142857,69.45,115,43,58,51,84,97,23.462623612792,0.0356017150174667,2.3462623612792,-0.0523756731073804,0.653991130820401,41,38,34,102,48
2294,"Iowa","IOWA",2014,1087,90.5833333333333,136.026295483407,0.125139186277283,11.3355246236173,0.394664213431463,70.771849126035,63,59,66,63,53,59,1015,84.5833333333333,136.695148947461,0.134675023593557,11.3912624122884,0.364532019704433,70.0167487684729,17.5,68,64,73,33,81,-0.668853464053569,-0.00953583731627386,-0.0557377886711308,0.0301321937270292,-0.755100357562057,69,69,78,33,70
66,"Iowa State","ISU",2014,1083,98.4545454545455,216.680338359355,0.200074181310577,19.6982125781232,0.373961218836565,73.5558633425669,15,5,4,8,79,113,1109,100.818181818182,168.045183805449,0.151528569707348,15.2768348914045,0.477908025247971,73.6465284039675,124,99,104,92,125,14,48.6351545539063,0.0485456116032293,4.42137768671875,-0.103946806411406,0.0906650614005997,21,22,23,124,60
2305,"Kansas","KU",2014,1020,92.7272727272727,109.707611361603,0.107556481727062,9.97341921469117,0.311764705882353,73.7754901960784,45,80,80,79,126,116,991,90.0909090909091,95.7942952205912,0.0966642736837449,8.70857229278102,0.411705348133199,69.518668012109,58,41,40,39,88,94,13.9133161410117,0.0108922080433167,1.26484692191015,-0.0999406422508459,-4.25682218396946,54,54,59,123,117
2306,"Kansas State","KSU",2014,1045,87.0833333333333,169.942015396348,0.162623938178323,14.1618346163623,0.429665071770335,69.1866028708134,98,33,36,31,25,24,1049,87.4166666666667,188.955161349032,0.180128847806513,15.7462634457527,0.408960915157293,72.163012392755,31,111,109,111,87,35,-19.0131459526843,-0.0175049096281897,-1.58442882939036,0.0207041566130423,2.9764095219416,84,85,85,46,24
2309,"Kent State","KENT",2014,948,86.1818181818182,117.103186120207,0.123526567637349,10.6457441927461,0.350210970464135,71.6392405063291,102,75,75,66,110,78,1040,94.5454545454545,91.6120326856206,0.0880884929669429,8.32836660778369,0.417307692307692,72.1865384615385,96,36,36,35,97,33,25.491153434586,0.0354380746704059,2.31737758496236,-0.0670967218435573,0.547297955209345,39,39,35,110,50
96,"Kentucky","UK",2014,1005,91.3636363636364,100.076390133774,0.0995784976455463,9.09785364852491,0.352238805970149,69.7194029850746,59,86,84,85,107,36,996,90.5454545454545,113.697232378714,0.114153847769793,10.3361120344285,0.407630522088353,71.8092369477912,61,49,51,54,85,44,-13.6208422449396,-0.0145753501242465,-1.2382583859036,-0.0553917161182042,2.08983396271654,81,82,82,105,31
2335,"Liberty","LIB",2014,193,96.5,32.8731823914479,0.170327369903875,16.436591195724,0.362694300518135,73.2487046632124,24,116,18,27,94,110,200,100,17.6551876067676,0.0882759380338378,8.82759380338378,0.435,66.76,121,11,42,36,108,125,15.2179947846804,0.0820514318700375,7.60899739234019,-0.0723056994818653,-6.48870466321243,53,5,6,113,126
309,"Louisiana","ULL",2014,1056,88,135.23267580554,0.128061246027973,11.2693896504616,0.40625,72.7869318181818,89,60,67,61,41,104,1062,88.5,136.690309769027,0.128710272852191,11.3908591474189,0.384180790960452,73.0348399246704,38,67,63,65,60,20,-1.45763396348735,-0.000649026824217996,-0.12146949695728,0.022069209039548,0.247908106488623,70,70,67,44,57
2433,"Louisiana Monroe","ULM",2014,1034,94,50.3919659264258,0.0487349767180133,4.58108781149325,0.359767891682785,74.5299806576402,37,109,110,110,98,121,974,88.5454545454545,69.8545697695514,0.0717192708106278,6.35041543359559,0.347022587268994,70.4681724845996,39,25,25,26,14,70,-19.4626038431256,-0.0229842940926144,-1.76932762210233,0.0127453044137915,-4.06180817304065,86,87,89,56,116
2348,"Louisiana Tech","LT",2014,1074,89.5,174.082632749953,0.162088112430124,14.5068860624961,0.381750465549348,66.6778398510242,71,28,32,32,69,3,1127,93.9166666666667,127.170681508543,0.112840001338548,10.5975567923786,0.358473824312334,69.2644188110027,89.5,61,55,53,21,101,46.9119512414097,0.0492481110915761,3.90932927011748,0.0232766412370146,2.58657895997845,23,25,21,41,28
97,"Louisville","LOU",2014,1109,92.4166666666667,77.851859304657,0.0702000534757953,6.48765494205475,0.345356176735798,69.7592425608656,50.5,100,105,105,114,37,1037,86.4166666666667,-1.33088858570946,-0.00128340268631578,-0.110907382142455,0.322082931533269,67.2198649951784,27,5,5,5,5,121,79.1827478903664,0.0714834561621111,6.5985623241972,0.0232732452025289,-2.53937756568725,8,12,11,42,99
99,"LSU","LSU",2014,1051,87.5833333333333,121.656135175572,0.115752745171809,10.138011264631,0.384395813510942,72.1484300666032,93,73,77,75,64,93,1001,83.4166666666667,83.4858228680882,0.0834024204476405,6.95715190567402,0.316683316683317,71.8371628371628,11,31,29,32,2,42,38.1703123074834,0.0323503247241688,3.18085935895695,0.0677124968276253,-0.311267229440404,27,30,37,14,63
276,"Marshall","MRSH",2014,1115,85.7692307692308,215.379555179961,0.193165520340772,16.5676580907662,0.439461883408072,67.990134529148,105,7,16,12,17,11,1221,93.9230769230769,198.072168149798,0.162221267935953,15.2363206269076,0.395577395577396,69.5675675675676,91,114,102,101,70,93,17.3073870301628,0.0309442524048195,1.33133746385868,0.0438844878306762,1.57743303841958,50,53,38,26,42
120,"Maryland","MD",2014,924,84,168.358535398133,0.182206207140837,15.3053213998303,0.350649350649351,69.9318181818182,113,34,26,19,109,40,1101,100.090909090909,69.0187973726824,0.0626873727272319,6.2744361247893,0.397820163487738,68.4486830154405,122,24,24,22,73,111,99.3397380254507,0.119518834413605,9.03088527504098,-0.0471708128383878,-1.48313516637768,3,3,2,98,83
235,"Memphis","MEM",2014,1167,97.25,35.6883950572426,0.0305813153875258,2.97403292143688,0.381319622964867,66.9837189374464,19,114,116,116,70,5,1165,97.0833333333333,152.871583894152,0.131220243685968,12.739298657846,0.333905579399142,74.5124463519313,109.5,82,77,69,11,5,-117.18318883691,-0.100638928298442,-9.76526573640913,0.0474140435657255,7.52872741448489,128,126,124,23,2
2390,"Miami","MIAMI",2014,986,82.1666666666667,92.8168689419403,0.0941347555192093,7.73473907849503,0.396551724137931,73.6176470588235,122,90,94,88,51,115,1090,90.8333333333333,140.031907855223,0.12846964023415,11.6693256546019,0.400917431192661,71.3495412844037,64,71,67,64,78,53,-47.2150389132828,-0.0343348847149403,-3.9345865761069,-0.0043657070547295,-2.26810577441987,105,102,97,70,93
193,"Miami (OH)","M-OH",2014,981,89.1818181818182,148.754584267967,0.151635661842984,13.5231440243606,0.370030581039755,72.3017329255861,75,49,41,40,85,96,1002,91.0909090909091,117.288291298949,0.117054182933083,10.6625719362681,0.447105788423154,68.9770459081836,65,54,56,57,118,106,31.4662929690177,0.0345814789099005,2.86057208809252,-0.0770752073833983,-3.32468701740251,31,32,36,115,107
